source	detector	w661			w735			w785			w808			w826			w849		
9	2	1	0.000223675	157.5452118	1	2.3463E-06	168.9269409	1	0.00016409	131.1966095	1	0.0002533	302.2124634	1	0.000145925	251.3830566	1	8.6502E-06	184.5437164
9	3	1	0.000768393	161.9878845	1	1.28336E-05	191.6134338	1	0.000534807	135.4897003	1	0.00082289	305.9414673	1	0.000312401	256.5541382	1	0.000030118	193.2481995
9	4	1	0.001512118	154.0213623	1	0.000031556	130.731842	1	0.001517082	127.5532684	1	0.001212988	295.7656555	1	0.001232958	247.304718	1	7.47325E-05	155.3681183
9	5	1	0.001012642	154.7588196	1	4.78306E-05	155.0203705	1	0.002017125	105.8475723	1	0.000974646	289.908783	1	0.002154206	226.7037659	1	0.0005123	159.4457092
9	6	1	0.011185765	149.2343903	1	0.00033538	144.4324341	1	0.010115845	101.769516	1	0.010462687	279.7358398	1	0.011006719	224.7403107	1	0.00383982	154.0710449
9	7	1	0.004575315	175.7521057	1	0.000846268	143.6400604	1	0.004462238	123.8482208	1	0.004445368	302.9937134	1	0.004644904	244.7710724	1	0.000506358	158.2283478
9	8	1	0.000912947	187.5323792	1	1.19687E-05	232.5417938	1	0.001235523	44.88227844	1	0.00221757	190.4488525	1	0.00180123	173.5682526	1	9.45903E-05	65.63454437
10	11	1	1.18971014	111.6635742	1	0.014416322	125.9162445	1	0.694485724	70.43484497	1	0.855233133	241.4915314	1	0.696632683	192.7035675	1	0.035132498	129.9468994
10	12	1	4.69774E-05	322.484314	1	6.3299E-06	150.0787659	1	9.2517E-06	257.2068481	1	4.9171E-06	83.07149506	1	9.1602E-06	29.56223679	1	0.000005895	204.930069
10	13	1	0.022135116	153.792099	1	0.000213783	168.7591705	1	0.011360308	121.9062347	1	0.016648658	294.1031799	1	0.004653336	246.397171	1	0.000417284	182.9212952
10	14	1	0.003079126	142.2454224	1	1.60018E-05	165.7982635	1	0.001458302	124.1234131	1	0.003270139	295.2102051	1	0.001171528	249.0090027	1	4.52831E-05	184.2808685
10	15	1	0.001648519	130.0139313	1	3.65177E-05	159.048584	1	0.000593175	109.5104828	1	0.000937011	282.5706482	1	0.000419042	236.1302032	1	4.37454E-05	189.7861786
10	16	1	0.001344955	134.606842	1	2.11151E-05	141.5270386	1	0.000590498	104.3169327	1	0.000958331	275.8494873	1	0.000521535	227.9119415	1	4.28744E-05	166.9475555
10	1	1	0.000583512	178.7653198	1	2.89394E-05	180.2600708	1	0.000331207	152.5209503	1	0.000516432	321.172699	1	0.000314835	274.083374	1	4.29971E-05	219.3366394
10	2	1	0.000167795	173.9772949	1	0.000003893	135.0926819	1	8.58155E-05	147.7908478	1	0.000148438	319.4440613	1	7.03913E-05	267.921814	1	6.7176E-06	187.797699
10	3	1	0.000208375	168.9935608	1	3.9709E-06	178.4203796	1	0.000173117	146.8164063	1	0.000454427	314.9424438	1	0.000160629	263.7798157	1	8.6497E-06	199.708252
10	4	1	0.001193683	162.7188263	1	2.58173E-05	174.0992432	1	0.000859275	139.3451233	1	0.001304598	308.7605591	1	0.000773224	256.367981	1	3.98489E-05	200.7352753
10	5	1	0.003188025	144.8816681	1	6.29039E-05	152.8616791	1	0.00282445	108.869339	1	0.002773725	282.7616577	1	0.00273239	229.6856995	1	0.000191117	167.8200836
10	6	1	0.000990356	163.4032593	1	0.000116859	153.6911316	1	0.002097452	116.7218246	1	0.00095487	298.40448	1	0.002201302	236.3871765	1	0.001007551	157.7430115
10	7	1	0.010943092	161.0372009	1	0.00051594	150.3161926	1	0.010168222	111.0748672	1	0.01047964	289.2374268	1	0.010813575	232.5675659	1	0.00396576	155.9755249
10	8	1	7.47359E-05	126.5538406	1	2.2404E-06	188.6988831	1	5.04905E-05	30.86455154	1	8.09662E-05	206.9009094	1	9.33789E-05	192.7960052	1	4.8971E-06	97.67588043
